objectid,ID,IGSID,title,CommodityList,CompanyList,longitude,latitude,DMSlon,DMSlat,WGS84lon,WGS84lat,q24k,q100k,q250k,plss,plssTOWNSHIP,plssRANGE,plssSECTION,plssQQSECTION,plssQSECTION,CountyName,SurfaceManagementAgency,FSAgencyName,OrangeNumber,ZIP,MiningDistrict,Placer,Underground,Surface,Drilled,Producer,Processing,LocationType,NameWeb,CommodityWeb,CompanyWeb,WebMercLon,WebMercLat,type,format,display_template,image_small,image_thumb,object_location
CH0295,1019,CH0295,Unnamed prospect,silver; gold,,-114.85,44.59,"114° 51' 17.94956400"" W","44° 35' 46.45719600"" N",-114.85,44.59,Casto,Challis,Challis,15N 13E SENE,15N,13E,34,SENE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|silver|gold|,,-114.85,44.59,text,record,record,,,
CH0296,1020,CH0296,Unnamed prospect,gold,,-114.86,44.59,"114° 52' 08.71086000"" W","44° 35' 37.45690800"" N",-114.86,44.59,Casto,Challis,Challis,15N 13E SWNW,15N,13E,34,SWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|,,-114.86,44.59,text,record,record,,,
CH0297,1021,CH0297,Unnamed prospect,gold; copper,,-114.85,44.59,"114° 51' 34.86992400"" W","44° 35' 38.53712400"" N",-114.85,44.59,Casto,Challis,Challis,15N 13E SWNE,15N,13E,34,SWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|copper|,,-114.85,44.59,text,record,record,,,
CH0298,1022,CH0298,Unnamed prospect,gold,,-114.84,44.59,"114° 50' 51.66862800"" W","44° 35' 33.49748400"" N",-114.84,44.59,Casto,Challis,Challis,15N 13E NESW,15N,13E,35,NESW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|,,-114.84,44.59,text,record,record,,,
CH0299,1023,CH0299,Unnamed prospect,gold; iron,,-114.87,44.58,"114° 52' 34.99125600"" W","44° 35' 12.25690800"" N",-114.87,44.58,Pinyon Peak,Challis,Challis,15N 13E SESE,15N,13E,33,SESE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|iron|,,-114.87,44.58,text,record,record,,,
CH0300,1024,CH0300,Unnamed prospect,iron; gold,,-114.86,44.58,"114° 52' 11.95039200"" W","44° 34' 55.33719600"" N",-114.86,44.58,Casto,Challis,Challis,14N 13E SWNW,14N,13E,3,SWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,0,0,0,0,0,0,|Unnamed prospect|,|iron|gold|,,-114.86,44.58,text,record,record,,,
CH0301,1025,CH0301,Unnamed prospect,silver; gold; copper,,-114.85,44.58,"114° 51' 21.90913200"" W","44° 35' 06.49744800"" N",-114.85,44.58,Casto,Challis,Challis,14N 13E NENE,14N,13E,3,NENE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,0,0,0,0,0,0,|Unnamed prospect|,|silver|gold|copper|,,-114.85,44.58,text,record,record,,,
CH0302,1026,CH0302,New York Mine,silver; gold; copper,Sunshine Mining Company,-114.85,44.58,"114° 51' 24.78898800"" W","44° 34' 51.37755600"" N",-114.85,44.58,Casto,Challis,Challis,14N 13E SENE,14N,13E,3,SENE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|New York Mine|,|silver|gold|copper|,|Sunshine Mining Company|,-114.85,44.58,text,record,record,,,
CH0303,1027,CH0303,Oro Grande Bar,gold,,-114.83,44.57,"114° 50' 20.70708000"" W","44° 34' 41.29806000"" N",-114.83,44.57,Casto,Challis,Challis,14N 13E NWSE,14N,13E,2,NWSE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,1,0,0,0,0,0,0,|Oro Grande Bar|,|gold|,,-114.83,44.57,text,record,record,,,
CH0304,1028,CH0304,Unnamed prospect,gold; silver; copper,,-114.85,44.58,"114° 51' 04.98848400"" W","44° 34' 54.25766400"" N",-114.85,44.58,Casto,Challis,Challis,14N 13E SWNW,14N,13E,2,SWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|silver|copper|,,-114.85,44.58,text,record,record,,,
CH0305,1029,CH0305,Unnamed prospect,gold; silver,,-114.85,44.57,"114° 51' 14.70844800"" W","44° 34' 32.29777200"" N",-114.85,44.57,Casto,Challis,Challis,14N 13E NESE,14N,13E,3,NESE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|silver|,,-114.85,44.57,text,record,record,,,
CH0306,1030,CH0306,Caldwell Placer Operation,gold,,-114.84,44.57,"114° 50' 29.70722400"" W","44° 34' 33.37806000"" N",-114.84,44.57,Casto,Challis,Challis,14N 13E NWSE,14N,13E,2,NWSE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,1,0,0,0,0,0,0,|Caldwell Placer Operation|,|gold|,,-114.84,44.57,text,record,record,,,
CH0307,1031,CH0307,Unnamed prospect,gold,,-114.84,44.57,"114° 50' 46.98762000"" W","44° 34' 26.53798800"" N",-114.84,44.57,Casto,Challis,Challis,14N 13E SESW,14N,13E,2,SESW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|,,-114.84,44.57,text,record,record,,,
CH0308,1032,CH0308,Lucky Day Prospect,silver,,-114.84,44.57,"114° 51' 01.74794400"" W","44° 34' 21.49791600"" N",-114.85,44.57,Casto,Challis,Challis,14N 13E SWSW,14N,13E,2,SWSW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Lucky Day Prospect|,|silver|,,-114.85,44.57,text,record,record,,,
CH0309,1033,CH0309,Unnamed prospect,gold,,-114.84,44.57,"114° 50' 54.90765600"" W","44° 34' 13.57802400"" N",-114.84,44.57,Casto,Challis,Challis,14N 13E NWNW,14N,13E,11,NWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,0,0,0,0,0,0,|Unnamed prospect|,|gold|,,-114.84,44.57,text,record,record,,,
CH0310,1034,CH0310,Casto Bar,gold,,-114.84,44.57,"114° 50' 45.90744000"" W","44° 34' 16.45806000"" N",-114.84,44.57,Casto,Challis,Challis,14N 13E NENW,14N,13E,11,NENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,1,0,0,0,1,0,0,|Casto Bar|,|gold|,,-114.84,44.57,text,record,record,,,
CH0311,1035,CH0311,Unnamed prospect,copper; gold,,-114.84,44.56,"114° 50' 33.66700800"" W","44° 34' 10.33820400"" N",-114.84,44.56,Casto,Challis,Challis,14N 13E NWNE,14N,13E,11,NWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|copper|gold|,,-114.84,44.56,text,record,record,,,
CH0312,1036,CH0312,Unnamed prospect,copper; gold,,-114.84,44.56,"114° 50' 44.82715200"" W","44° 33' 57.37820400"" N",-114.84,44.56,Casto,Challis,Challis,14N 13E SENW,14N,13E,11,SENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,0,0,0,0,0,0,|Unnamed prospect|,|copper|gold|,,-114.84,44.56,text,record,record,,,
CH0313,1037,CH0313,Unnamed prospect,silver,,-114.84,44.56,"114° 50' 32.94682800"" W","44° 33' 57.37831200"" N",-114.84,44.56,Casto,Challis,Challis,14N 13E SWNE,14N,13E,11,SWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,0,0,0,0,0,0,|Unnamed prospect|,|silver|,,-114.84,44.56,text,record,record,,,
CH0314,1038,CH0314,Unnamed prospect,gold,,-114.83,44.56,"114° 50' 17.82643200"" W","44° 33' 58.45838400"" N",-114.83,44.56,Casto,Challis,Challis,14N 13E SWNE,14N,13E,11,SWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,0,0,0,0,0,0,|Unnamed prospect|,|gold|,,-114.83,44.56,text,record,record,,,
CH0315,1039,CH0315,Unnamed prospect,gold; copper,,-114.84,44.56,"114° 50' 41.94690000"" W","44° 33' 45.49831200"" N",-114.84,44.56,Casto,Challis,Challis,14N 13E NESW,14N,13E,11,NESW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|copper|,,-114.84,44.56,text,record,record,,,
CH0316,1040,CH0316,Loon Creek Quartz Vein,zinc; lead; copper,,-114.85,44.56,"114° 51' 04.98744000"" W","44° 33' 36.49824000"" N",-114.85,44.56,Casto,Challis,Challis,14N 13E SWSW,14N,13E,11,SWSW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,0,0,0,0,0,0,|Loon Creek Quartz Vein|,|zinc|lead|copper|,,-114.85,44.56,text,record,record,,,
CH0317,1041,CH0317,Unnamed prospect,gold; silver,,-114.83,44.55,"114° 50' 17.82596400"" W","44° 33' 24.25863600"" N",-114.83,44.55,Casto,Challis,Challis,14N 13E NWNE,14N,13E,14,NWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|silver|,,-114.83,44.55,text,record,record,,,
CH0318,1042,CH0318,Monte Cristo Mine,silver; gold; lead; copper; zinc,First Eagle Corporation; Monte Cristo Gold Mining Company,-114.83,44.55,"114° 49' 53.76000000"" W","44° 33' 00.36000000"" N",-114.83,44.55,Casto,Challis,Challis,14N 13E SWNW,14N,13E,13,SWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,695,83278,Loon Creek,0,1,0,0,0,0,1,|Monte Cristo Mine|,|silver|gold|lead|copper|zinc|,|First Eagle Corporation|Monte Cristo Gold Mining Company|,-114.83,44.55,text,record,record,,,
CH0319,1043,CH0319,Shell Creek Bar,gold,,-114.79,44.61,"114° 47' 37.98412800"" W","44° 36' 42.25831200"" N",-114.79,44.61,Casto,Challis,Challis,15N 14E NENW,15N,14E,26,NENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,,1,0,0,0,0,0,0,|Shell Creek Bar|,|gold|,,-114.79,44.61,text,record,record,,,
CH0320,1044,CH0320,Double Bar,gold,,-114.79,44.6,"114° 47' 52.74445200"" W","44° 36' 34.33827600"" N",-114.79,44.6,Casto,Challis,Challis,15N 14E SWNW,15N,14E,26,SWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,,1,0,0,0,0,0,0,|Double Bar|,|gold|,,-114.79,44.6,text,record,record,,,
CH0321,1045,CH0321,West Transfer Bar,gold,,-114.8,44.6,"114° 48' 05.70463200"" W","44° 36' 21.37827600"" N",-114.8,44.6,Casto,Challis,Challis,15N 14E NESE,15N,14E,27,NESE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,,1,0,0,0,0,0,0,|West Transfer Bar|,|gold|,,-114.8,44.6,text,record,record,,,
CH0322,1046,CH0322,East Transfer Bar,gold,,-114.8,44.6,"114° 48' 10.74456000"" W","44° 36' 04.45834800"" N",-114.8,44.6,Casto,Challis,Challis,15N 14E SESE,15N,14E,27,SESE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,,1,0,0,0,0,0,0,|East Transfer Bar|,|gold|,,-114.8,44.6,text,record,record,,,
CH0323,1047,CH0323,"Tin Cup Bar, Tincup Bar",gold,,-114.8,44.59,"114° 48' 32.70502800"" W","44° 35' 55.45827600"" N",-114.8,44.59,Casto,Challis,Challis,15N 14E NWNE,15N,14E,34,NWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,1,0,0,0,0,0,0,|Tin Cup Bar|Tincup Bar|,|gold|,,-114.8,44.59,text,record,record,,,
CH0324,1048,CH0324,"West Tin Cup Bar, West Tincup Bar",gold,,-114.81,44.59,"114° 48' 41.70517200"" W","44° 35' 47.53827600"" N",-114.81,44.59,Casto,Challis,Challis,15N 14E SENW,15N,14E,34,SENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,1,0,0,0,0,0,0,|West Tin Cup Bar|West Tincup Bar|,|gold|,,-114.81,44.59,text,record,record,,,
CH0325,1049,CH0325,Airport Disseminated Copper Prospect,copper,,-114.82,44.59,"114° 49' 15.90585600"" W","44° 35' 25.57820400"" N",-114.82,44.59,Casto,Challis,Challis,15N 13E NWSE,15N,13E,36,NWSE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,692,83278,Loon Creek,0,0,0,0,0,0,0,|Airport Disseminated Copper Prospect|,|copper|,,-114.82,44.59,text,record,record,,,
CH0326,1050,CH0326,Airport Bar,gold,,-114.82,44.59,"114° 49' 30.66625200"" W","44° 35' 24.49809600"" N",-114.82,44.59,Casto,Challis,Challis,15N 13E NESW,15N,13E,36,NESW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,1,0,0,0,0,0,0,|Airport Bar|,|gold|,,-114.82,44.59,text,record,record,,,
CH0327,1051,CH0327,Grouse Creek Placer,gold,,-114.83,44.59,"114° 50' 23.94776400"" W","44° 35' 26.29770000"" N",-114.83,44.59,Casto,Challis,Challis,15N 13E NWSE,15N,13E,35,NWSE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,1,0,0,0,0,0,0,|Grouse Creek Placer|,|gold|,,-114.83,44.59,text,record,record,,,
CH0328,1052,CH0328,Unnamed prospect,gold,,-114.83,44.58,"114° 50' 11.70733200"" W","44° 35' 18.37784400"" N",-114.83,44.58,Casto,Challis,Challis,15N 13E SESE,15N,13E,35,SESE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|,,-114.83,44.58,text,record,record,,,
CH0329,1099,CH0329,"Loon Creek Placers, Casto Bar, Oro Grande Bar, Grouse Creek Placer, Loon Creek Hydraulic Placer Co.",copper; gold,Loon Creek Hydraulic Placer Mining Company Limited,-114.83,44.58,"114° 49' 56.94668400"" W","44° 35' 02.53806000"" N",-114.83,44.58,Casto,Challis,Challis,14N 13E NWNW,14N,13E,1,NWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,690,83278,Loon Creek,1,0,0,0,0,0,0,|Loon Creek Placers|Casto Bar|Oro Grande Bar|Grouse Creek Placer|Loon Creek Hydraulic Placer Co.|,|copper|gold|,|Loon Creek Hydraulic Placer Mining Company Limited|,-114.83,44.58,text,record,record,,,
CH0330,1100,CH0330,Unnamed prospect,gold,,-114.82,44.58,"114° 49' 31.74600000"" W","44° 35' 02.53824000"" N",-114.82,44.58,Casto,Challis,Challis,14N 13E NENW,14N,13E,1,NENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Loon Creek,0,0,0,0,0,0,0,|Unnamed prospect|,|gold|,,-114.82,44.58,text,record,record,,,
CH0331,1101,CH0331,Loon Creek Summit Fluorspar Occurrence,fluorite,,-114.74,44.46,"114° 45' 00.65278800"" W","44° 28' 04.58317200"" N",-114.75,44.46,Mount Jordan,White Cloud Peaks,Challis,13N 15E NESW,13N,15E,7,NESW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,0,0,0,0,0,0,|Loon Creek Summit Fluorspar Occurrence|,|fluorite|,,-114.75,44.46,text,record,record,,,
CH0332,1102,CH0332,Unnamed prospect,silver,,-114.71,44.46,"114° 43' 06.88954800"" W","44° 27' 59.54396400"" N",-114.71,44.46,Custer,White Cloud Peaks,Challis,13N 15E SWSW,13N,15E,9,SWSW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,0,0,0,0,0,0,|Unnamed prospect|,|silver|,,-114.71,44.46,text,record,record,,,
CH0333,1103,CH0333,Unnamed prospect,silver; gold,,-114.71,44.46,"114° 42' 40.96868400"" W","44° 27' 51.26421600"" N",-114.71,44.46,Custer,White Cloud Peaks,Challis,13N 15E SESW,13N,15E,9,SESW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,0,0,0,0,0,0,|Unnamed prospect|,|silver|gold|,,-114.71,44.46,text,record,record,,,
CH0334,1104,CH0334,Unnamed prospect,gold; silver,,-114.69,44.46,"114° 41' 43.72695600"" W","44° 27' 40.46468400"" N",-114.69,44.46,Custer,White Cloud Peaks,Challis,13N 15E NWNW,13N,15E,15,NWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,0,0,0,0,0,0,|Unnamed prospect|,|gold|silver|,,-114.69,44.46,text,record,record,,,
CH0335,1105,CH0335,Unnamed prospect,gold; silver,,-114.71,44.46,"114° 42' 56.80908000"" W","44° 27' 45.50414400"" N",-114.71,44.46,Custer,White Cloud Peaks,Challis,13N 15E NWNW,13N,15E,16,NWNW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,156,83278,Yankee Fork,0,0,0,0,0,0,0,|Unnamed prospect|,|gold|silver|,,-114.71,44.46,text,record,record,,,
CH0336,1106,CH0336,"HUH Bros., H U H Bros.",gold,,-114.74,44.45,"114° 45' 01.73228400"" W","44° 27' 24.26346000"" N",-114.75,44.45,Mount Jordan,White Cloud Peaks,Challis,13N 15E SENW,13N,15E,18,SENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,1,0,0,0,0,0,0,|HUH Bros.|H U H Bros.|,|gold|,,-114.75,44.45,text,record,record,,,
CH0337,1107,CH0337,Unnamed prospect,silver; gold,,-114.73,44.46,"114° 43' 54.77062800"" W","44° 27' 41.54378400"" N",-114.73,44.46,Custer,White Cloud Peaks,Challis,13N 15E NENW,13N,15E,17,NENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,0,0,0,0,0,0,|Unnamed prospect|,|silver|gold|,,-114.73,44.46,text,record,record,,,
CH0338,1108,CH0338,Unnamed prospect,silver; gold,,-114.72,44.45,"114° 43' 16.96947600"" W","44° 27' 33.26410800"" N",-114.72,44.45,Custer,White Cloud Peaks,Challis,13N 15E SENE,13N,15E,17,SENE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,1,0,0,0,0,0,|Unnamed prospect|,|silver|gold|,,-114.72,44.45,text,record,record,,,
CH0339,1109,CH0339,Unnamed prospect,gold; silver,,-114.72,44.45,"114° 43' 34.96987200"" W","44° 27' 25.34403600"" N",-114.72,44.45,Custer,White Cloud Peaks,Challis,13N 15E SWNE,13N,15E,17,SWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,1,0,0,0,0,0,|Unnamed prospect|,|gold|silver|,,-114.72,44.45,text,record,record,,,
CH0340,1110,CH0340,Unnamed prospect,silver; gold,,-114.71,44.46,"114° 42' 45.64864800"" W","44° 27' 38.30428800"" N",-114.71,44.46,Custer,White Cloud Peaks,Challis,13N 15E NENW,13N,15E,16,NENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,1,0,0,0,0,0,|Unnamed prospect|,|silver|gold|,,-114.71,44.46,text,record,record,,,
CH0341,1111,CH0341,Unnamed prospect,silver; gold,,-114.7,44.45,"114° 42' 30.88807200"" W","44° 27' 26.42446800"" N",-114.7,44.45,Custer,White Cloud Peaks,Challis,13N 15E SWNE,13N,15E,16,SWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,,83278,Yankee Fork,0,0,0,0,0,0,0,|Unnamed prospect|,|silver|gold|,,-114.7,44.45,text,record,record,,,
CH0342,1112,CH0342,"Tonto Mine, Tonto Page, Buster",gold; silver; lead; copper,,-114.7,44.45,"114° 42' 15.76767600"" W","44° 27' 27.50457600"" N",-114.7,44.45,Custer,White Cloud Peaks,Challis,13N 15E SWNE,13N,15E,16,SWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,157,83278,Yankee Fork,0,1,0,0,1,0,0,|Tonto Mine|Tonto Page|Buster|,|gold|silver|lead|copper|,,-114.7,44.45,text,record,record,,,
CH0343,1113,CH0343,Golden Gate Mine,gold; silver; copper; lead,Moneca Mine Development,-114.7,44.45,"114° 42' 15.76753200"" W","44° 27' 16.34464800"" N",-114.7,44.45,Custer,White Cloud Peaks,Challis,13N 15E NWSE,13N,15E,16,NWSE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,159,83278,Yankee Fork,0,1,0,0,1,0,0,|Golden Gate Mine|,|gold|silver|copper|lead|,|Moneca Mine Development|,-114.7,44.45,text,record,record,,,
CH0344,1114,CH0344,Mountain Chief Mine,gold; silver,,-114.71,44.45,"114° 42' 40.96818000"" W","44° 27' 13.46450400"" N",-114.71,44.45,Custer,White Cloud Peaks,Challis,13N 15E NESW,13N,15E,16,NESW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,158,83278,Yankee Fork,0,0,0,0,0,0,0,|Mountain Chief Mine|,|gold|silver|,,-114.71,44.45,text,record,record,,,
CH0345,1115,CH0345,Unnamed prospect,,,-114.71,44.45,"114° 42' 44.92814400"" W","44° 27' 02.30454000"" N",-114.71,44.45,Custer,White Cloud Peaks,Challis,13N 15E SESW,13N,15E,16,SESW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,160,83278,Yankee Fork,0,0,0,0,0,0,0,|Unnamed prospect|,,,-114.71,44.45,text,record,record,,,
CH0346,1116,CH0346,"McFadden Mine, Altura, Fraction Lode Claims",silver; gold; antimony; lead; copper,U.S. Antimony Corporation (USAC); Westgold (Western Gold Exploration and Mining Company; Estes Gold Mines Incorporated; McFadden Mines Corp.,-114.7,44.44,"114° 42' 27.57546000"" W","44° 26' 47.36479200"" N",-114.7,44.44,Custer,White Cloud Peaks,Challis,13N 15E NWNE,13N,15E,21,NWNE,NE,Custer,PRIVATE;Salmon-Challis NF,Salmon-Challis NF,161,83278,Yankee Fork,0,1,0,0,1,0,1,|McFadden Mine|Altura|Fraction Lode Claims|,|silver|gold|antimony|lead|copper|,|U.S. Antimony Corporation (USAC)|Westgold (Western Gold Exploration and Mining Company|Estes Gold Mines Incorporated|McFadden Mines Corp.|,-114.7,44.44,text,record,record,,,
CH0347,1117,CH0347,Charles Wain Mine,silver; gold,U.S. Antimony Corporation (USAC); Westgold (Western Gold Exploration and Mining Company,-114.7,44.44,"114° 42' 20.80731600"" W","44° 26' 50.42479200"" N",-114.7,44.44,Custer,White Cloud Peaks,Challis,13N 15E NWNE,13N,15E,21,NWNE,NE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,162,83278,Yankee Fork,0,1,0,0,0,0,0,|Charles Wain Mine|,|silver|gold|,|U.S. Antimony Corporation (USAC)|Westgold (Western Gold Exploration and Mining Company|,-114.7,44.44,text,record,record,,,
CH0348,1118,CH0348,Snowdrift Mine,silver; gold; lead; copper,U.S. Antimony Corporation (USAC); Westgold (Western Gold Exploration and Mining Company,-114.7,44.44,"114° 42' 35.92774800"" W","44° 26' 50.42472000"" N",-114.7,44.44,Custer,White Cloud Peaks,Challis,13N 15E NENW,13N,15E,21,NENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,163,83278,Yankee Fork,0,1,0,0,1,0,0,|Snowdrift Mine|,|silver|gold|lead|copper|,|U.S. Antimony Corporation (USAC)|Westgold (Western Gold Exploration and Mining Company|,-114.7,44.44,text,record,record,,,
CH0349,1119,CH0349,Arcade Prospect,silver; gold; copper; lead,U.S. Antimony Corporation (USAC); Westgold (Western Gold Exploration and Mining Company,-114.7,44.44,"114° 42' 33.76760400"" W","44° 26' 45.38475600"" N",-114.7,44.44,Custer,White Cloud Peaks,Challis,13N 15E NENW,13N,15E,21,NENW,NW,Custer,PRIVATE;Salmon-Challis NF,Salmon-Challis NF,164,83278,Yankee Fork,0,1,0,0,1,0,0,|Arcade Prospect|,|silver|gold|copper|lead|,|U.S. Antimony Corporation (USAC)|Westgold (Western Gold Exploration and Mining Company|,-114.7,44.44,text,record,record,,,
CH0350,1120,CH0350,"Montana Mine, Old Montana",silver; gold; lead; zinc; copper,U.S. Antimony Corporation (USAC); Westgold (Western Gold Exploration and Mining Company; Idaho Montana Mines Company; The Custer Slide Mining and Development Company,-114.7,44.44,"114° 42' 39.23967600"" W","44° 26' 37.68079200"" N",-114.71,44.44,Custer,White Cloud Peaks,Challis,13N 15E SENW,13N,15E,21,SENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,521,83278,Yankee Fork,0,1,0,0,1,1,1,|Montana Mine|Old Montana|,|silver|gold|lead|zinc|copper|,|U.S. Antimony Corporation (USAC)|Westgold (Western Gold Exploration and Mining Company|Idaho Montana Mines Company|The Custer Slide Mining and Development Company|,-114.71,44.44,text,record,record,,,
CH0351,1121,CH0351,"Gold Star Prospect, Lucky Day",gold; silver,U.S. Antimony Corporation (USAC); Westgold (Western Gold Exploration and Mining Company,-114.71,44.44,"114° 42' 39.88774800"" W","44° 26' 41.42475600"" N",-114.71,44.44,Custer,White Cloud Peaks,Challis,13N 15E SENW,13N,15E,21,SENW,NW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,165,83278,Yankee Fork,0,1,0,0,1,0,0,|Gold Star Prospect|Lucky Day|,|gold|silver|,|U.S. Antimony Corporation (USAC)|Westgold (Western Gold Exploration and Mining Company|,-114.71,44.44,text,record,record,,,
CH0352,1122,CH0352,"Why Not Mine, Hidden Treasure, Thunderbolt, Estes Mountain, Franklin Group",silver; gold; lead; copper; zinc,Hecla Mining Company; U.S. Antimony Corporation (USAC); WestGold; Westgold (Western Gold Exploration and Mining Company; Canadian Superior Exploration; MacGinniss-Walker Metals Company,-114.71,44.43,"114° 42' 53.09982000"" W","44° 26' 19.32082800"" N",-114.71,44.43,Custer,White Cloud Peaks,Challis,13N 15E NWSW,13N,15E,21,NWSW,SW,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,167,83278,Yankee Fork,0,1,0,1,1,0,1,|Why Not Mine|Hidden Treasure|Thunderbolt|Estes Mountain|Franklin Group|,|silver|gold|lead|copper|zinc|,|Hecla Mining Company|U.S. Antimony Corporation (USAC)|WestGold|Westgold (Western Gold Exploration and Mining Company|Canadian Superior Exploration|MacGinniss-Walker Metals Company|,-114.71,44.43,text,record,record,,,
CH0353,1123,CH0353,Unnamed prospect,,,-114.71,44.44,"114° 43' 14.80857600"" W","44° 26' 30.26457600"" N",-114.72,44.44,Custer,White Cloud Peaks,Challis,13N 15E NESE,13N,15E,20,NESE,SE,Custer,USFS;Salmon-Challis NF,Salmon-Challis NF,168,83278,Yankee Fork,0,0,0,0,0,0,0,|Unnamed prospect|,,,-114.72,44.44,text,record,record,,,
